#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
        94   -1.0512166531e+01    1.1081429462e+02   -2.1370507315e+01    1.0858340784e+01   -6.8333587973e+00    7.4040454931e-01   -2.5018856438e+00   -1.2775667423e+01    1.4000000000e+02    3.1370000000e-03    7.6696428571e-01
        95   -1.0523580390e+01    1.1098261433e+02   -2.2369701117e+01    1.1846120728e+01   -7.7794160994e+00    8.1909337351e-01   -2.6337109682e+00   -1.2775667423e+01    1.4000000000e+02    2.9940000000e-03    7.5982142857e-01
        96   -1.0463198647e+01    1.0976035412e+02   -2.2081598139e+01    1.1618399492e+01   -7.3337109995e+00    8.0681825304e-01   -2.7790379691e+00   -1.2775667423e+01    1.4000000000e+02    3.0230000000e-03    7.5937500000e-01
        97   -1.0496156801e+01    1.1049416530e+02   -2.1853455590e+01    1.1357298790e+01   -6.9503642125e+00    4.6920597324e-01   -2.5966299277e+00   -1.2775667423e+01    1.4000000000e+02    3.1780000000e-03    7.6741071429e-01
        98   -1.0428212280e+01    1.0903077265e+02   -2.2347682196e+01    1.1919469917e+01   -7.3363486845e+00    5.1698416997e-01   -2.7526502586e+00   -1.2775667423e+01    1.4000000000e+02    3.0550000000e-03    7.6964285714e-01
        99   -1.0517021684e+01    1.1088863183e+02   -2.2080074244e+01    1.1563052560e+01   -7.5418321408e+00    5.6338999692e-01   -2.3259646764e+00   -1.2775667423e+01    1.4000000000e+02    2.9510000000e-03    7.5491071429e-01
       100   -1.0470884570e+01    1.0993204395e+02   -2.2502851359e+01    1.2031966789e+01   -7.3816556861e+00    4.7330672547e-01   -2.8188349751e+00   -1.2775667423e+01    1.4000000000e+02    3.0670000000e-03    7.4866071429e-01
       101   -1.0408121670e+01    1.0858533068e+02   -2.0828825508e+01    1.0420703838e+01   -5.6449779486e+00    4.1741346522e-01   -2.8255936017e+00   -1.2775667423e+01    1.4000000000e+02    3.1270000000e-03    7.8125000000e-01
       102   -1.0564935670e+01    1.1191759681e+02   -2.2094900381e+01    1.1529964711e+01   -7.1414449909e+00    5.1656785106e-01   -2.6943558176e+00   -1.2775667423e+01    1.4000000000e+02    3.1140000000e-03    7.5625000000e-01
       103   -1.0440422100e+01    1.0941702406e+02   -2.1241620590e+01    1.0801198490e+01   -6.4679448957e+00    7.1173036546e-01   -2.7097386367e+00   -1.2775667423e+01    1.4000000000e+02    2.9940000000e-03    7.8705357143e-01
       104   -1.0479056801e+01    1.1015410433e+02   -2.2018404762e+01    1.1539347961e+01   -6.9531493115e+00    5.3081131309e-01   -2.8203993400e+00   -1.2775667423e+01    1.4000000000e+02    3.1160000000e-03    7.5312500000e-01
       105   -1.0437388286e+01    1.0988114998e+02   -2.1833164193e+01    1.1395775907e+01   -6.7707933799e+00    5.5672465552e-01   -2.8434280454e+00   -1.2775667423e+01    1.4000000000e+02    3.1390000000e-03    7.6026785714e-01
       106   -1.0576879616e+01    1.1214327184e+02   -2.2317658770e+01    1.1740779153e+01   -7.2475330714e+00    5.7749879111e-01   -2.8719570658e+00   -1.2775667423e+01    1.4000000000e+02    3.0470000000e-03    7.5803571429e-01
       107   -1.0632411086e+01    1.1359957968e+02   -2.2226699884e+01    1.1594288797e+01   -7.4928294264e+00    7.5701537208e-01   -2.7152184060e+00   -1.2775667423e+01    1.4000000000e+02    3.0900000000e-03    7.6875000000e-01
       108   -1.0546586969e+01    1.1159619229e+02   -2.1978543614e+01    1.1431956644e+01   -6.9773034898e+00    6.3964562420e-01   -2.8652183248e+00   -1.2775667423e+01    1.4000000000e+02    2.9880000000e-03    7.8035714286e-01
       109   -1.0437470615e+01    1.0922082112e+02   -2.2291190116e+01    1.1853719501e+01   -7.5088083217e+00    6.4662535155e-01   -2.6533397222e+00   -1.2775667423e+01    1.4000000000e+02    2.8390000000e-03    7.5133928571e-01
       110   -1.0481223909e+01    1.1023334767e+02   -2.1645086851e+01    1.1163862942e+01   -6.7782392483e+00    6.5457914491e-01   -2.7457593240e+00   -1.2775667423e+01    1.4000000000e+02    2.8100000000e-03    7.6205357143e-01
       111   -1.0401400170e+01    1.0857522238e+02   -2.2021477353e+01    1.1620077183e+01   -7.0449918297e+00    4.8631896370e-01   -2.6871370637e+00   -1.2775667423e+01    1.4000000000e+02    3.0230000000e-03    7.8660714286e-01
       112   -1.0589411782e+01    1.1256493306e+02   -2.2361504385e+01    1.1772092604e+01   -7.7352037921e+00    9.1173488668e-01   -2.7623680565e+00   -1.2775667423e+01    1.4000000000e+02    3.0000000000e-03    7.5714285714e-01
       113   -1.0373199832e+01    1.0828789701e+02   -2.2018767641e+01    1.1645567809e+01   -7.1787175160e+00    5.6955812387e-01   -2.6339408256e+00   -1.2775667423e+01    1.4000000000e+02    2.8460000000e-03    7.4732142857e-01
       114   -1.0397021336e+01    1.0846465647e+02   -2.2587371364e+01    1.2190350029e+01   -7.9251114446e+00    6.6218204840e-01   -2.5487745448e+00   -1.2775667423e+01    1.4000000000e+02    2.8230000000e-03    7.6696428571e-01
