#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             IonIon              BlockWeight         BlockCPU            AcceptRatio         
       107   -2.1317178319e+00    4.6894883079e+00   -4.0785176437e+00    1.9467998118e+00    1.8828841820e+00   -7.8334164204e+00    1.8720145947e+00    1.4000000000e+03    1.0425000000e-02    9.8928571429e-01
       108   -2.1578559092e+00    4.8361819962e+00   -4.0611839216e+00    1.9033280124e+00    1.7842426644e+00   -7.7174411807e+00    1.8720145947e+00    1.4000000000e+03    1.0153000000e-02    9.8750000000e-01
       109   -2.1471357576e+00    4.7792097711e+00   -4.1752177747e+00    2.0280820171e+00    1.9205159862e+00   -7.9677483555e+00    1.8720145947e+00    1.4000000000e+03    1.0613000000e-02    9.8892857143e-01
       110   -2.1350623044e+00    4.6850571712e+00   -4.2674177477e+00    2.1323554433e+00    1.7105169724e+00   -7.8499493148e+00    1.8720145947e+00    1.4000000000e+03    1.0097000000e-02    9.8696428571e-01
       111   -2.0753364071e+00    4.4484969022e+00   -4.1815673665e+00    2.1062309594e+00    1.7814771904e+00   -7.8350591516e+00    1.8720145947e+00    1.4000000000e+03    1.0028000000e-02    9.8803571429e-01
       112   -2.1385497690e+00    4.7317523576e+00   -4.5358487592e+00    2.3972989903e+00    1.7859394329e+00   -8.1938027867e+00    1.8720145947e+00    1.4000000000e+03    1.0120000000e-02    9.8946428571e-01
       113   -2.1635929517e+00    4.8267437870e+00   -4.0749578822e+00    1.9113649305e+00    1.8350391476e+00   -7.7820116245e+00    1.8720145947e+00    1.4000000000e+03    1.0104000000e-02    9.8714285714e-01
       114   -2.1203119726e+00    4.6712879094e+00   -4.6465526773e+00    2.5262407047e+00    2.0228114261e+00   -8.5413786980e+00    1.8720145947e+00    1.4000000000e+03    9.2190000000e-03    9.8607142857e-01
       115   -2.0593004971e+00    4.3689620350e+00   -4.2862622567e+00    2.2269617596e+00    1.8538212426e+00   -8.0120980939e+00    1.8720145947e+00    1.4000000000e+03    8.7090000000e-03    9.8696428571e-01
       116   -2.1843376598e+00    4.9301838857e+00   -4.2722848260e+00    2.0879471662e+00    2.0520362294e+00   -8.1963356500e+00    1.8720145947e+00    1.4000000000e+03    9.3710000000e-03    9.8767857143e-01
       117   -2.1454357203e+00    4.7294830910e+00   -3.9316100615e+00    1.7861743412e+00    1.8071459979e+00   -7.6107706541e+00    1.8720145947e+00    1.4000000000e+03    1.0485000000e-02    9.8785714286e-01
       118   -2.1137061636e+00    4.5915412522e+00   -4.2884635143e+00    2.1747573507e+00    1.8391129445e+00   -7.9995910534e+00    1.8720145947e+00    1.4000000000e+03    1.0449000000e-02    9.8928571429e-01
       119   -2.1023516773e+00    4.5894606772e+00   -4.4376647094e+00    2.3353130320e+00    1.8370858683e+00   -8.1467651723e+00    1.8720145947e+00    1.4000000000e+03    1.0538000000e-02    9.8750000000e-01
       120   -2.0494299095e+00    4.3721689360e+00   -4.1928650895e+00    2.1434351799e+00    1.8677294088e+00   -7.9326090929e+00    1.8720145947e+00    1.4000000000e+03    1.0895000000e-02    9.8750000000e-01
       121   -1.9902689088e+00    4.1006065110e+00   -4.2991011933e+00    2.3088322845e+00    1.8490917052e+00   -8.0202074932e+00    1.8720145947e+00    1.4000000000e+03    1.0396000000e-02    9.8821428571e-01
       122   -2.1153656729e+00    4.6188510743e+00   -4.2070343551e+00    2.0916686821e+00    1.8327041629e+00   -7.9117531126e+00    1.8720145947e+00    1.4000000000e+03    1.0164000000e-02    9.8607142857e-01
       123   -2.0913845368e+00    4.5227165516e+00   -4.3059876693e+00    2.2146031324e+00    1.9107644733e+00   -8.0887667373e+00    1.8720145947e+00    1.4000000000e+03    1.0365000000e-02    9.9000000000e-01
       124   -2.1225524009e+00    4.6396483921e+00   -4.5614338338e+00    2.4388814328e+00    1.7524281411e+00   -8.1858765695e+00    1.8720145947e+00    1.4000000000e+03    9.0000000000e-03    9.8803571429e-01
       125   -2.1104809717e+00    4.5933473193e+00   -4.4050978570e+00    2.2946168853e+00    1.8090561297e+00   -8.0861685813e+00    1.8720145947e+00    1.4000000000e+03    1.0398000000e-02    9.8589285714e-01
       126   -2.1061606515e+00    4.5795746204e+00   -4.1789178263e+00    2.0727571748e+00    1.7827271441e+00   -7.8336595651e+00    1.8720145947e+00    1.4000000000e+03    1.0294000000e-02    9.8660714286e-01
       127   -2.1582696638e+00    4.7974324824e+00   -4.2357685221e+00    2.0774988583e+00    1.7439084279e+00   -7.8516915446e+00    1.8720145947e+00    1.4000000000e+03    1.0314000000e-02    9.9035714286e-01
