# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
       111   -1.0572729149e+01    6.1569711463e-01    6.3029649222e+01    6.3000000000e+01    0.0000000000e+00   -1.0493538020e+01    9.9135029368e-01    1.0000000000e+00
       112   -1.0637951052e+01    5.0510482306e-01    6.3029380499e+01    6.3000000000e+01    0.0000000000e+00   -1.0510248635e+01    1.0000000000e+00    1.0000000000e+00
       113   -1.0632294866e+01    5.6877117955e-01    6.3038264117e+01    6.3000000000e+01    0.0000000000e+00   -1.0512028889e+01    9.9645236122e-01    1.0000000000e+00
       114   -1.0608020249e+01    4.7394948879e-01    6.3033014856e+01    6.3000000000e+01    0.0000000000e+00   -1.0513810196e+01    1.0000000000e+00    1.0000000000e+00
       115   -1.0601547865e+01    5.4685175259e-01    6.3027829932e+01    6.3000000000e+01    0.0000000000e+00   -1.0514943366e+01    9.9188824349e-01    9.8412698413e-01
       116   -1.0558742071e+01    3.6480896560e-01    6.2021483680e+01    6.2000000000e+01    0.0000000000e+00   -1.0515942621e+01    9.9595691286e-01    1.0000000000e+00
       117   -1.0608065904e+01    4.3936935762e-01    6.2025399775e+01    6.2000000000e+01    0.0000000000e+00   -1.0500257423e+01    9.9657585679e-01    1.0000000000e+00
       118   -1.0552897181e+01    3.9964321847e-01    6.2024142348e+01    6.2000000000e+01    0.0000000000e+00   -1.0501444183e+01    1.0000000000e+00    1.0000000000e+00
       119   -1.0539782038e+01    3.3554687823e-01    6.2013508468e+01    6.2000000000e+01    0.0000000000e+00   -1.0501715415e+01    1.0000000000e+00    1.0000000000e+00
       120   -1.0572998636e+01    2.9613312315e-01    6.2016676448e+01    6.2000000000e+01    0.0000000000e+00   -1.0501639771e+01    9.9869780307e-01    1.0000000000e+00
       121   -1.0528207961e+01    3.6088409726e-01    6.2014716282e+01    6.2000000000e+01    0.0000000000e+00   -1.0502251813e+01    9.9800044707e-01    1.0000000000e+00
       122   -1.0471766992e+01    3.6300685508e-01    6.1999083249e+01    6.2000000000e+01    0.0000000000e+00   -1.0502143489e+01    9.8722868935e-01    9.8387096774e-01
       123   -1.0526086324e+01    2.5327478088e-01    6.1000547905e+01    6.1000000000e+01    0.0000000000e+00   -1.0501043592e+01    9.9133298272e-01    1.0000000000e+00
       124   -1.0538186881e+01    2.5687023495e-01    6.1014226094e+01    6.1000000000e+01    0.0000000000e+00   -1.0484716019e+01    9.9700634219e-01    1.0000000000e+00
       125   -1.0512038869e+01    2.1242054494e-01    6.1012028931e+01    6.1000000000e+01    0.0000000000e+00   -1.0485013166e+01    9.9823895407e-01    1.0000000000e+00
       126   -1.0524461577e+01    2.6279263892e-01    6.1010035165e+01    6.1000000000e+01    0.0000000000e+00   -1.0484704124e+01    1.0000000000e+00    1.0000000000e+00
       127   -1.0536714839e+01    2.8661389004e-01    6.1013817186e+01    6.1000000000e+01    0.0000000000e+00   -1.0484566840e+01    1.0000000000e+00    1.0000000000e+00
       128   -1.0574890743e+01    3.9941016973e-01    6.1021409754e+01    6.1000000000e+01    0.0000000000e+00   -1.0484683998e+01    9.9361964739e-01    1.0000000000e+00
       129   -1.0602755873e+01    2.9435533866e-01    6.1031239547e+01    6.1000000000e+01    0.0000000000e+00   -1.0485345443e+01    1.0000000000e+00    1.0000000000e+00
       130   -1.0624442237e+01    2.8621497514e-01    6.1038476694e+01    6.1000000000e+01    0.0000000000e+00   -1.0486378420e+01    9.9601080685e-01    1.0000000000e+00
       131   -1.0577779885e+01    3.5475449240e-01    6.1034295630e+01    6.1000000000e+01    0.0000000000e+00   -1.0487615100e+01    9.9861042621e-01    1.0000000000e+00
       132   -1.0625731386e+01    3.2404768711e-01    6.2036400580e+01    6.2000000000e+01    0.0000000000e+00   -1.0488068381e+01    1.0000000000e+00    1.0000000000e+00
       133   -1.0563634966e+01    3.5223575114e-01    6.2027351868e+01    6.2000000000e+01    0.0000000000e+00   -1.0505440708e+01    9.9296935314e-01    1.0000000000e+00
       134   -1.0666037468e+01    4.0370820177e-01    6.2033508164e+01    6.2000000000e+01    0.0000000000e+00   -1.0505616651e+01    9.8569141629e-01    1.0000000000e+00
       135   -1.0631183503e+01    4.3135441917e-01    6.2043427740e+01    6.2000000000e+01    0.0000000000e+00   -1.0507234876e+01    1.0000000000e+00    1.0000000000e+00
       136   -1.0600728162e+01    3.3988908056e-01    6.2032936990e+01    6.2000000000e+01    0.0000000000e+00   -1.0508473145e+01    9.9309219140e-01    1.0000000000e+00
       137   -1.0710384360e+01    4.5966178909e-01    6.3048481484e+01    6.3000000000e+01    0.0000000000e+00   -1.0509007567e+01    9.9662840103e-01    1.0000000000e+00
       138   -1.0668927189e+01    4.5152798105e-01    6.3050738191e+01    6.3000000000e+01    0.0000000000e+00   -1.0527179686e+01    9.9779449015e-01    1.0000000000e+00
       139   -1.0647963737e+01    3.6892901798e-01    6.3040450410e+01    6.3000000000e+01    0.0000000000e+00   -1.0528639843e+01    9.9723819031e-01    1.0000000000e+00
       140   -1.0596967079e+01    4.6878316030e-01    6.3028841776e+01    6.3000000000e+01    0.0000000000e+00   -1.0529636447e+01    1.0000000000e+00    1.0000000000e+00
       141   -1.0643906961e+01    5.5501482513e-01    6.3028060937e+01    6.3000000000e+01    0.0000000000e+00   -1.0530026176e+01    9.9806609489e-01    1.0000000000e+00
       142   -1.0617556893e+01    5.6716332384e-01    6.3030908570e+01    6.3000000000e+01    0.0000000000e+00   -1.0531085419e+01    9.8448135962e-01    1.0000000000e+00
       143   -1.0669296883e+01    6.8760105979e-01    6.3034579414e+01    6.3000000000e+01    0.0000000000e+00   -1.0531895850e+01    9.9821325444e-01    1.0000000000e+00
       144   -1.0510820421e+01    4.5516131887e-01    6.3017387378e+01    6.3000000000e+01    0.0000000000e+00   -1.0533253483e+01    9.8967154676e-01    1.0000000000e+00
       145   -1.0516765627e+01    6.6641258918e-01    6.2993792986e+01    6.3000000000e+01    0.0000000000e+00   -1.0532584572e+01    9.9834842056e-01    1.0000000000e+00
       146   -1.0435065667e+01    5.3966516873e-01    6.2982005490e+01    6.3000000000e+01    0.0000000000e+00   -1.0531884140e+01    9.9530947222e-01    1.0000000000e+00
       147   -1.0570998343e+01    5.3708139581e-01    6.2990955447e+01    6.3000000000e+01    0.0000000000e+00   -1.0530535502e+01    9.9768730375e-01    1.0000000000e+00
       148   -1.0592159660e+01    4.5499609381e-01    6.3015541695e+01    6.3000000000e+01    0.0000000000e+00   -1.0530926869e+01    9.9579684300e-01    1.0000000000e+00
       149   -1.0649608479e+01    7.7695573198e-01    6.3027590744e+01    6.3000000000e+01    0.0000000000e+00   -1.0531775095e+01    9.8189488352e-01    1.0000000000e+00
       150   -1.0573056479e+01    1.3662026548e+00    6.3023967095e+01    6.3000000000e+01    0.0000000000e+00   -1.0532989602e+01    9.9610510548e-01    1.0000000000e+00
       151   -1.0592444759e+01    3.5416587919e-01    6.3014932583e+01    6.3000000000e+01    0.0000000000e+00   -1.0533177219e+01    1.0000000000e+00    1.0000000000e+00
       152   -1.0615129960e+01    3.0045724387e-01    6.3021751736e+01    6.3000000000e+01    0.0000000000e+00   -1.0533464246e+01    1.0000000000e+00    1.0000000000e+00
       153   -1.0644388622e+01    2.9784710236e-01    6.3029773745e+01    6.3000000000e+01    0.0000000000e+00   -1.0534214731e+01    1.0000000000e+00    1.0000000000e+00
       154   -1.0635225825e+01    4.7759322664e-01    6.3032585594e+01    6.3000000000e+01    0.0000000000e+00   -1.0535253269e+01    1.0000000000e+00    1.0000000000e+00
       155   -1.0628286923e+01    4.5702814370e-01    6.3029733715e+01    6.3000000000e+01    0.0000000000e+00   -1.0536104515e+01    9.9455653719e-01    1.0000000000e+00
       156   -1.0568817868e+01    3.7176559394e-01    6.3019063683e+01    6.3000000000e+01    0.0000000000e+00   -1.0536785224e+01    9.9524183007e-01    1.0000000000e+00
       157   -1.0567186779e+01    2.6459970756e-01    6.3009535740e+01    6.3000000000e+01    0.0000000000e+00   -1.0536772523e+01    9.9592115232e-01    1.0000000000e+00
       158   -1.0641685156e+01    3.1631762642e-01    6.3021050355e+01    6.3000000000e+01    0.0000000000e+00   -1.0536759917e+01    1.0000000000e+00    1.0000000000e+00
       159   -1.0607215110e+01    2.3204066701e-01    6.3027027489e+01    6.3000000000e+01    0.0000000000e+00   -1.0537762169e+01    9.9756209330e-01    1.0000000000e+00
       160   -1.0586945230e+01    2.3902277369e-01    6.3018273763e+01    6.3000000000e+01    0.0000000000e+00   -1.0538348269e+01    1.0000000000e+00    1.0000000000e+00
